[Byte Buddy] COMPLETE java.io.FilePermission$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY jdk.internal.access.JavaIOFilePermissionAccess [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE jdk.internal.access.JavaIOFilePermissionAccess [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE jdk.internal.access.JavaIOFilePermissionAccess [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY sun.security.util.FilePermCompat [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE sun.security.util.FilePermCompat [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE sun.security.util.FilePermCompat [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY sun.security.util.SecurityProperties [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE sun.security.util.SecurityProperties [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE sun.security.util.SecurityProperties [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.security.Security [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.security.Security [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.security.Security [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.security.Security$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.security.Security$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.security.Security$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.Properties$LineReader [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.Properties$LineReader [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.Properties$LineReader [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.io.FilePermissionCollection [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.io.FilePermissionCollection [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.io.FilePermissionCollection [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.io.FilePermissionCollection$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.io.FilePermissionCollection$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.io.FilePermissionCollection$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.cli.MavenCli [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.maven.cli.MavenCli [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.maven.cli.MavenCli [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.cli.MavenCli$ExitException [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.maven.cli.MavenCli$ExitException [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.maven.cli.MavenCli$ExitException [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.exception.ExceptionHandler [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.maven.exception.ExceptionHandler [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.maven.exception.ExceptionHandler [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.commons.cli.ParseException [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.commons.cli.ParseException [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.commons.cli.ParseException [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.commons.cli.UnrecognizedOptionException [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.commons.cli.UnrecognizedOptionException [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.commons.cli.UnrecognizedOptionException [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.BuildAbort [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.maven.BuildAbort [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.maven.BuildAbort [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.logging.LoggerManager [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.logging.LoggerManager [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.logging.LoggerManager [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.building.Source [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.apache.maven.building.Source [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.apache.maven.building.Source [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.apache.maven.toolchain.building.ToolchainsBuildingRequest [ClassRealm[plexus.core, parent: null], unnamed module @6b09fb41, Thread[main,5,main], loaded=false]
